"fecha","dia","confirmados_dia","confirmados_acum","fallecidos_dia","fallecidos_acum"
2020-01-02,0,1,1,0,0
2020-01-03,1,0,1,0,0
2020-01-04,2,0,1,0,0
2020-01-05,3,0,1,0,0
2020-01-06,4,0,1,0,0
2020-01-07,5,0,1,0,0
2020-01-08,6,0,1,0,0
2020-01-09,7,0,1,0,0
2020-01-10,8,0,1,0,0
2020-01-11,9,0,1,0,0
2020-01-12,10,0,1,0,0
2020-01-13,11,0,1,0,0
2020-01-14,12,0,1,0,0
2020-01-15,13,0,1,0,0
2020-01-16,14,0,1,0,0
2020-01-17,15,0,1,0,0
2020-01-18,16,0,1,0,0
2020-01-19,17,0,1,0,0
2020-01-20,18,0,1,0,0
2020-01-21,19,0,1,0,0
2020-01-22,20,0,1,0,0
2020-01-23,21,0,1,0,0
2020-01-24,22,0,1,0,0
2020-01-25,23,0,1,0,0
2020-01-26,24,0,1,0,0
2020-01-27,25,0,1,0,0
2020-01-28,26,0,1,0,0
2020-01-29,27,0,1,0,0
2020-01-30,28,0,1,0,0
2020-01-31,29,0,1,0,0
2020-02-01,30,0,1,0,0
2020-02-02,31,0,1,0,0
2020-02-03,32,0,1,0,0
2020-02-04,33,0,1,0,0
2020-02-05,34,0,1,0,0
2020-02-06,35,0,1,0,0
2020-02-07,36,0,1,0,0
2020-02-08,37,0,1,0,0
2020-02-09,38,0,1,0,0
2020-02-10,39,0,1,0,0
2020-02-11,40,0,1,0,0
2020-02-12,41,0,1,0,0
2020-02-13,42,0,1,0,0
2020-02-14,43,0,1,0,0
2020-02-15,44,0,1,0,0
2020-02-16,45,0,1,0,0
2020-02-17,46,0,1,0,0
2020-02-18,47,0,1,0,0
2020-02-19,48,0,1,0,0
2020-02-20,49,0,1,0,0
2020-02-21,50,0,1,0,0
2020-02-22,51,0,1,0,0
2020-02-23,52,0,1,0,0
2020-02-24,53,0,1,0,0
2020-02-25,54,0,1,0,0
2020-02-26,55,0,1,0,0
2020-02-27,56,2,3,0,0
2020-02-28,57,2,5,0,0
2020-02-29,58,1,6,0,0
2020-03-01,59,3,9,0,0
2020-03-02,60,3,12,0,0
2020-03-03,61,5,17,0,0
2020-03-04,62,7,24,0,0
2020-03-05,63,7,31,0,0
2020-03-06,64,16,47,0,0
2020-03-07,65,4,51,1,1
2020-03-08,66,14,65,0,1
2020-03-09,67,20,85,1,2
2020-03-10,68,18,103,1,3
2020-03-11,69,30,133,0,3
2020-03-12,70,43,176,2,5
2020-03-13,71,41,217,2,7
2020-03-14,72,52,269,2,9
2020-03-15,73,56,325,2,11
2020-03-16,74,82,407,1,12
2020-03-17,75,88,495,4,16
2020-03-18,76,74,569,1,17
2020-03-19,77,107,676,4,21
2020-03-20,78,125,801,1,22
2020-03-21,79,135,936,2,24
2020-03-22,80,87,1023,2,26
2020-03-23,81,116,1139,2,28
2020-03-24,82,101,1240,9,37
2020-03-25,83,104,1344,11,48
2020-03-26,84,86,1430,14,62
2020-03-27,85,91,1521,14,76
2020-03-28,86,68,1589,17,93
2020-03-29,87,66,1655,16,109
2020-03-30,88,77,1732,18,127
2020-03-31,89,74,1806,15,142
2020-04-01,90,83,1889,18,160
2020-04-02,91,77,1966,15,175
2020-04-03,92,77,2043,15,190
2020-04-04,93,82,2125,19,209
2020-04-05,94,47,2172,25,234
2020-04-06,95,85,2257,29,263
2020-04-07,96,78,2335,20,283
2020-04-08,97,96,2431,27,310
2020-04-09,98,98,2529,39,349
2020-04-10,99,114,2643,21,370
2020-04-11,100,106,2749,23,393
2020-04-12,101,90,2839,19,412
2020-04-13,102,104,2943,27,439
2020-04-14,103,111,3054,28,467
2020-04-15,104,97,3151,38,505
2020-04-16,105,99,3250,33,538
2020-04-17,106,108,3358,25,563
2020-04-18,107,123,3481,28,591
2020-04-19,108,97,3578,33,624
2020-04-20,109,155,3733,29,653
2020-04-21,110,125,3858,35,688
2020-04-22,111,121,3979,33,721
2020-04-23,112,124,4103,31,752
2020-04-24,113,145,4248,30,782
2020-04-25,114,138,4386,27,809
2020-04-26,115,134,4520,22,831
2020-04-27,116,121,4641,44,875
2020-04-28,117,116,4757,31,906
2020-04-29,118,128,4885,26,932
2020-04-30,119,169,5054,25,957
2020-05-01,120,197,5251,33,990
2020-05-02,121,135,5386,22,1012
2020-05-03,122,167,5553,25,1037
2020-05-04,123,167,5720,25,1062
2020-05-05,124,204,5924,18,1080
2020-05-06,125,197,6121,24,1104
2020-05-07,126,236,6357,28,1132
2020-05-08,127,237,6594,22,1154
2020-05-09,128,228,6822,29,1183
2020-05-10,129,269,7091,29,1212
2020-05-11,130,316,7407,29,1241
2020-05-12,131,261,7668,24,1265
2020-05-13,132,259,7927,25,1290
2020-05-14,133,243,8170,15,1305
2020-05-15,134,225,8395,24,1329
2020-05-16,135,205,8600,25,1354
2020-05-17,136,112,8712,20,1374
2020-05-18,137,108,8820,15,1389
2020-05-19,138,71,8891,3,1392
