"muertos" "confirmados" "recuperados" "activos"
"1" 0 1 0 1
"2" 0 1 0 1
"3" 0 2 0 2
"4" 0 8 0 8
"5" 1 9 0 8
"6" 1 12 0 11
"7" 1 17 0 16
"8" 1 19 0 18
"9" 1 21 0 20
"10" 1 31 1 29
"11" 2 34 3 29
"12" 2 45 3 40
"13" 2 56 3 51
"14" 2 65 3 60
"15" 2 79 3 74
"16" 3 97 3 91
"17" 3 128 3 122
"18" 3 158 3 152
"19" 4 225 27 194
"20" 4 266 27 235
"21" 4 301 40 257
"22" 6 387 40 341
"23" 8 502 40 454
"24" 12 589 70 507
"25" 17 690 74 599
"26" 19 745 75 651
"27" 20 820 75 725
"28" 24 966 75 867
"29" 27 1054 75 952
"30" 31 1133 75 1027
"31" 36 1265 76 1153
"32" 42 1353 76 1235
"33" 43 1451 86 1322
"34" 46 1554 98 1410
"35" 53 1628 103 1472
"36" 60 1715 124 1531
"37" 65 1795 132 1598
"38" 79 1894 157 1658
"39" 82 1975 164 1729
"40" 89 2142 391 1662
"41" 95 2208 391 1722
"42" 98 2277 392 1787
"43" 105 2443 399 1939
"44" 112 2571 400 2059
"45" 122 2669 410 2137
"46" 129 2758 419 2210
"47" 132 2839 426 2281
"48" 134 2941 478 2329
"49" 142 3031 501 2388
"50" 151 3144 526 2467
"51" 159 3288 845 2284
"52" 165 3435 919 2351
"53" 176 3607 975 2456
"54" 185 3780 1030 2565
"55" 192 3892 1103 2597
"56" 197 4003 1116 2690
"57" 207 4127 1128 2792
"58" 214 4285 1135 2936
